 #written on 16Dec2023 at 12:21:08 
 #------------------------------------------------- MONTECARLO -------------------------------------------------#
 # Temp      Magnetization     Energy_ave          C_M              Sus              U_E              U_M       #
 #--------------------------------------------------------------------------------------------------------------#
 450.0000   0.17498731E-01  -0.16244866E+04   0.11359880E+01   0.64429926E-03   0.66664246E+00   0.41341816E+00
 460.0000   0.17855717E-01  -0.16125693E+04   0.11570021E+01   0.66858901E-03   0.66664052E+00   0.40439047E+00
 470.0000   0.17942527E-01  -0.16007169E+04   0.12068842E+01   0.66449789E-03   0.66663777E+00   0.40563874E+00
 480.0000   0.18302076E-01  -0.15892004E+04   0.11867784E+01   0.65744800E-03   0.66663660E+00   0.41507165E+00
 490.0000   0.18373535E-01  -0.15770846E+04   0.12282141E+01   0.65636324E-03   0.66663374E+00   0.41007432E+00
 500.0000   0.18676952E-01  -0.15651161E+04   0.12095461E+01   0.66277993E-03   0.66663237E+00   0.41102981E+00
 510.0000   0.18948535E-01  -0.15531580E+04   0.12179386E+01   0.66593409E-03   0.66663019E+00   0.41027933E+00
 520.0000   0.19065488E-01  -0.15409712E+04   0.12046277E+01   0.65734970E-03   0.66662857E+00   0.41430942E+00
 530.0000   0.19327629E-01  -0.15287027E+04   0.12545227E+01   0.66668540E-03   0.66662480E+00   0.41393793E+00
 540.0000   0.19584781E-01  -0.15166535E+04   0.12516962E+01   0.66023364E-03   0.66662260E+00   0.41682298E+00
 550.0000   0.19868487E-01  -0.15040904E+04   0.12358032E+01   0.66634544E-03   0.66662078E+00   0.41556744E+00
 560.0000   0.20046065E-01  -0.14915666E+04   0.12605992E+01   0.66312015E-03   0.66661733E+00   0.42184877E+00
 570.0000   0.20270495E-01  -0.14793392E+04   0.12625023E+01   0.66634378E-03   0.66661462E+00   0.41951061E+00
 580.0000   0.20361143E-01  -0.14664078E+04   0.12382784E+01   0.65833077E-03   0.66661288E+00   0.42173060E+00
 590.0000   0.20666665E-01  -0.14536734E+04   0.13171536E+01   0.66529966E-03   0.66660641E+00   0.42179300E+00
 600.0000   0.20909152E-01  -0.14406267E+04   0.12896687E+01   0.67009608E-03   0.66660455E+00   0.42174656E+00
 610.0000   0.21024105E-01  -0.14281855E+04   0.12980989E+01   0.66859345E-03   0.66660091E+00   0.42111497E+00
 620.0000   0.21143117E-01  -0.14147921E+04   0.13104561E+01   0.66221310E-03   0.66659678E+00   0.42099889E+00
 630.0000   0.21561598E-01  -0.14016502E+04   0.13507855E+01   0.66862420E-03   0.66659088E+00   0.42575552E+00
 640.0000   0.21793571E-01  -0.13883208E+04   0.13093640E+01   0.67689283E-03   0.66658938E+00   0.42424621E+00
 650.0000   0.21836710E-01  -0.13748406E+04   0.13433989E+01   0.65969855E-03   0.66658327E+00   0.42719892E+00
 660.0000   0.22122755E-01  -0.13615485E+04   0.13513891E+01   0.67110168E-03   0.66657849E+00   0.42479797E+00
 670.0000   0.22285792E-01  -0.13484136E+04   0.14171630E+01   0.66198977E-03   0.66656950E+00   0.43029885E+00
 680.0000   0.22535205E-01  -0.13341453E+04   0.13907880E+01   0.67241244E-03   0.66656634E+00   0.42897742E+00
 690.0000   0.22755392E-01  -0.13206090E+04   0.13657222E+01   0.66746710E-03   0.66656315E+00   0.43173501E+00
